Categoria,Nome do Produto,Descrição,Estoque Disponível,Preço Unitário (R$),Preço em USD ($),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Memória RAM,Memória RAM Corsair Pro,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,82.0,1006.63,197.38,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1442.0
Memória RAM,Memória RAM Corsair Pro,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,13.0,4087.87,801.54,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5855.87
Memória RAM,Memória RAM G.Skill Pro,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,60.0,996.37,195.37,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1427.3
Memória RAM,Memória RAM G.Skill Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,26.0,3128.06,613.35,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4480.95
Memória RAM,Memória RAM G.Skill Lite,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,75.0,231.97,45.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,332.3
Memória RAM,Memória RAM G.Skill Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,83.0,1253.32,245.75,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1795.38
Memória RAM,Memória RAM Crucial Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,95.0,3688.18,723.17,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5283.32
Memória RAM,Memória RAM Crucial Plus,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,55.0,914.3,179.27,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1309.73
Memória RAM,Memória RAM ADATA Edition,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,94.0,1206.74,236.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1728.66
Memória RAM,Memória RAM ADATA,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,57.0,1522.84,298.6,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2181.47
Memória RAM,Memória RAM ADATA Gamer,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,86.0,2472.07,484.72,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3541.24
Memória RAM,Memória RAM ADATA Edition,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,15.0,513.75,100.74,12%,"18,00%","4,00%","1,65%","7,60%",43.25,735.95
Armazenamento,Armazenamento Kingston SSD Lite,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,26.0,113.39,22.23,12%,"18,00%","4,00%","1,65%","7,60%",43.25,162.43
Armazenamento,Armazenamento Kingston SSD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,64.0,4795.27,940.25,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6869.22
Armazenamento,Armazenamento Kingston SSD Plus,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,81.0,191.55,37.56,12%,"18,00%","4,00%","1,65%","7,60%",43.25,274.4
Armazenamento,Armazenamento Kingston SSD,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,58.0,3869.24,758.67,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5542.69
Armazenamento,Armazenamento WD SSD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,20.0,3882.49,761.27,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5561.67
Armazenamento,Armazenamento WD SSD Edition,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,44.0,3413.41,669.3,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4889.71
Armazenamento,Armazenamento WD SSD Gamer,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,29.0,941.57,184.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1348.8
Armazenamento,Armazenamento WD SSD,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,73.0,1348.49,264.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1931.71
Armazenamento,Armazenamento Samsung SSD Edition,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,50.0,2253.35,441.83,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3227.92
Armazenamento,Armazenamento Samsung SSD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,46.0,4346.98,852.35,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6227.05
Armazenamento,Armazenamento Samsung SSD Lite,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,36.0,945.24,185.34,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1354.06
Armazenamento,Armazenamento Crucial SSD Gamer,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,68.0,654.38,128.31,12%,"18,00%","4,00%","1,65%","7,60%",43.25,937.4
Armazenamento,Armazenamento Crucial SSD Edition,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,16.0,1527.64,299.54,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2188.34
Armazenamento,Armazenamento Crucial SSD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,43.0,2913.61,571.3,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4173.75
Armazenamento,Armazenamento Crucial SSD Edition,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,79.0,1271.72,249.36,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1821.74
Armazenamento,Armazenamento Seagate HDD Lite,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,100.0,1895.96,371.76,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2715.96
Armazenamento,Armazenamento Seagate HDD,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,50.0,2069.01,405.69,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2963.86
Armazenamento,Armazenamento Seagate HDD Gamer,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,98.0,4494.32,881.24,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6438.11
Armazenamento,Armazenamento Seagate HDD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,41.0,1413.84,277.22,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2025.33
Armazenamento,Armazenamento WD HDD Gamer,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,86.0,573.63,112.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,821.72
Armazenamento,Armazenamento WD HDD Gamer,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,28.0,758.41,148.71,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1086.42
Armazenamento,Armazenamento WD HDD Pro,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,68.0,2890.56,566.78,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4140.73
Armazenamento,Armazenamento WD HDD Plus,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,30.0,4746.78,930.74,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6799.76
Fonte,Fonte Corsair Lite,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,77.0,3514.58,689.13,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5034.64
Fonte,Fonte Corsair Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,38.0,247.69,48.57,12%,"18,00%","4,00%","1,65%","7,60%",43.25,354.82
Fonte,Fonte EVGA Pro,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,60.0,4040.39,792.23,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5787.86
Fonte,Fonte EVGA Pro,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,85.0,4718.75,925.25,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6759.61
Fonte,Fonte EVGA Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,42.0,524.28,102.8,12%,"18,00%","4,00%","1,65%","7,60%",43.25,751.03
Fonte,Fonte EVGA Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,63.0,3256.35,638.5,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4664.72
Fonte,Fonte Cooler Master Edition,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,96.0,1320.7,258.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1891.9
Fonte,Fonte Cooler Master Plus,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,83.0,3162.31,620.06,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4530.01
Fonte,Fonte Cooler Master Pro,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,100.0,989.31,193.98,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1417.19
Fonte,Fonte Cooler Master Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,86.0,1028.14,201.6,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1472.81
Fonte,Fonte Thermaltake Plus,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,43.0,1459.16,286.11,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2090.25
Fonte,Fonte Thermaltake Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,40.0,3095.73,607.01,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4434.63
Fonte,Fonte Thermaltake Edition,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,36.0,4514.28,885.15,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6466.71
Fonte,Fonte Thermaltake Gamer,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,32.0,2805.33,550.06,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4018.64
Fonte,Fonte XPG Edition,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,15.0,1259.04,246.87,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1803.57
Fonte,Fonte XPG Plus,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,72.0,3850.88,755.07,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5516.39
Fonte,Fonte XPG Lite,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,93.0,3486.02,683.53,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4993.72
Gabinete,Gabinete Thermaltake Edition,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",93.0,110.94,21.75,12%,"18,00%","4,00%","1,65%","7,60%",43.25,158.92
Gabinete,Gabinete Thermaltake Plus,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",81.0,3232.68,633.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4630.81
Gabinete,Gabinete Thermaltake,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",77.0,3652.48,716.17,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5232.18
Gabinete,Gabinete Cooler Master Edition,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",91.0,4803.17,941.8,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6880.54
Gabinete,Gabinete Cooler Master Pro,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",92.0,3369.62,660.71,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4826.98
Gabinete,Gabinete Redragon,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",87.0,1133.34,222.22,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1623.51
Gabinete,Gabinete Redragon Gamer,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",38.0,4659.85,913.7,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6675.24
Gabinete,Gabinete Redragon Pro,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",100.0,413.45,81.07,12%,"18,00%","4,00%","1,65%","7,60%",43.25,592.27
Gabinete,Gabinete Aerocool Gamer,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",24.0,2946.4,577.73,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4220.72
Gabinete,Gabinete Aerocool Edition,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",29.0,3967.57,777.95,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5683.54
Gabinete,Gabinete NZXT Pro,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",42.0,1661.9,325.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2380.67
Gabinete,Gabinete NZXT Pro,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",65.0,786.75,154.26,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1127.02
Gabinete,Gabinete NZXT Gamer,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",39.0,4591.66,900.33,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6577.55
Placa de Vídeo,Placa de Vídeo NVIDIA GTX 1650 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,55.0,4246.38,832.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6082.94
Placa de Vídeo,Placa de Vídeo NVIDIA GTX 1650 Plus,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,61.0,3810.21,747.1,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5458.13
Placa de Vídeo,Placa de Vídeo NVIDIA GTX 1650 Plus,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,88.0,591.69,116.02,12%,"18,00%","4,00%","1,65%","7,60%",43.25,847.6
Placa de Vídeo,Placa de Vídeo NVIDIA GTX 1650 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,83.0,1595.48,312.84,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2285.53
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 3060,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,96.0,645.59,126.59,12%,"18,00%","4,00%","1,65%","7,60%",43.25,924.81
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 3060 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,30.0,2253.85,441.93,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3228.64
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 3060 Pro,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,86.0,4075.33,799.08,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5837.91
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 4070 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,10.0,211.52,41.47,12%,"18,00%","4,00%","1,65%","7,60%",43.25,303.0
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 4070 Lite,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,63.0,2799.11,548.85,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4009.73
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 4070 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,95.0,3174.8,622.51,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4547.9
Placa de Vídeo,Placa de Vídeo NVIDIA RTX 4070 Plus,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,29.0,4057.89,795.66,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5812.93
Placa de Vídeo,Placa de Vídeo AMD RX 6600 Pro,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,49.0,4333.86,849.78,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6208.25
Placa de Vídeo,Placa de Vídeo AMD RX 6600,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,34.0,4063.32,796.73,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5820.71
Placa de Vídeo,Placa de Vídeo AMD RX 6800,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,97.0,345.2,67.69,12%,"18,00%","4,00%","1,65%","7,60%",43.25,494.5
Placa de Vídeo,Placa de Vídeo AMD RX 6800 Lite,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,28.0,4005.38,785.37,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5737.71
Placa de Vídeo,Placa de Vídeo AMD RX 6800 Gamer,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,74.0,2845.86,558.01,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4076.69
Placa de Vídeo,Placa de Vídeo AMD RX 7900 Lite,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,93.0,2659.74,521.52,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3810.08
Placa de Vídeo,Placa de Vídeo AMD RX 7900 Edition,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,29.0,3486.7,683.67,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4994.7
Placa de Vídeo,Placa de Vídeo AMD RX 7900,GPU potente ideal para gamers e profissionais de edição de vídeo e 3D.,16.0,3555.26,697.11,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5092.91
Cooler/Resfriamento,Cooler/Resfriamento Cooler Master Pro,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,28.0,1307.07,256.29,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1872.38
Cooler/Resfriamento,Cooler/Resfriamento Cooler Master,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,76.0,2550.87,500.17,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3654.12
Cooler/Resfriamento,Cooler/Resfriamento Cooler Master,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,21.0,4079.86,799.97,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5844.4
Cooler/Resfriamento,Cooler/Resfriamento Cooler Master Lite,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,69.0,2360.4,462.82,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3381.27
Cooler/Resfriamento,Cooler/Resfriamento Deepcool Lite,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,70.0,4871.3,955.16,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6978.14
